" |text просить устранить недостаток сквер ряд почта"
" |text парк филармония засыпать окурок каждый день десятка студент казанский энергетический колледж бросать окурок прямо парка просьба доложить руководство колледж вывести студент уборка территория время городской субботник"
" |text добрый утро просить пешеходный дорожка сторона чебурашка нгда проверить огородить въезд личный автотранспорт парка гулять ребенок создаваться опасный ситуация"
" |text март телефон подать заявка парка харовой гореть фонарь рабочий электросеть проверять фонарь отключить целое линия освещение парк вдоль ул сулейманов дом вахитов рабочий вскрыть фонарный коробка проводы бросить неделя починить"
" |text футбольный поль лететь мяч прямо спорт площадка тренажер просить починить забор футбольный площадка"
" |text нужно провести работа благоустройство зона зеленый насаждение срубить мусорный высохший дерево сделать тропинка поставить скамейка посадить новое дерево конец конец жилой район вообще никакой сквер"
" |text ужасно скрепить качели ребенок кататься скрип вообще кататься большой просьба устранить время весь ребенок гулять"
" |text просить облагородить парк обустроить немой дополнительный скамейка детский площадка часто хватать место посидеть ребенок скамейка также зона навес дождливый погода негде переждать место это половина парк сей пора облагородить"
" |text вандал разбить фонарь сквер расположить ряд станция метро козий слобода казалось вокруг установить камера наблюдение однако это остановить негодяй похоже бюджет фишман найтись средство весь это починить быстро надеяться администрация найти"
" |text парка кинотаеатром мир желатьельный установить новый песочница больший размер чистый песок ребенок весь помещаються играть грязь"
" |text парка имя урицкий асфальтовый покрытие повредить просьба восстановить находиться около ближний мостик центральный вход парк перекресток ул исаев ул гагарин"
" |text отвратительный работа дворник мусорный ведро переполнить мусор лежать асфальт кругом бумага пластиковый стакан пластиковый палочка"
" |text парк гулливер превратить свалка"
" |text парка имя фардиева очередь сломать некоторый тренажер"
" |text вход парк сторона бывший кафе ночной птица рабочий выложить диагональный дорожка направление улица дементьев выложить странно именно участок кафе затем грязь слякоть дорожка пожалуйста выложить недоставать участок"
" |text визуальный доступность справа слева видно возможность попасть сквер необходимый проложить тротуар вытоптать участок"
" |text это место стоять парк год осень сделать котлован озеро огородить надать момент детский площадка доделать котлован огородить вод весь ребенок туда лезть площадка бывать большой количество ребенок мримести нибыть мера"
" |text весь пешеходный дорожка парка крыло совет очистить снег просьба очистить"
" |text елочный городок единственный благоустроенный место прогулка около жк флагман чистка снег трактор поломать скамейка"
" |text большой просьба срочно установить ограда периметр футбольный поль футбольный пол находиться ряд дорогой ул главный ребенок играть каждый день футбол мяч переодическа вылетать поль проезжий часть опасный жизнь ребенок который выбегать дорога мячий"
" |text вход парк имя горький благоустроенный пешеход ребенок инвалид прямо вход расположить карман автомобиль приходиться протискиваться машина необходимый изменить ограждение сделать вход человек стоянка машина это ранний сантиметр фото"
" |text лесопарк возле дом который гулять ребенок весь мусор бутылка пакет очень неприятно гулять место убрать пожалуйста хотеться наслаждаться прогулка смотреть мусор повсюду"
" |text колонна ворота парк тысячелетие сторона ул айдиновый отсутствовать декоративный элемент восстановить покрасить колонна"
" |text зимой перекрыть пешеходный дорожка ведущий парк стадион сэкономить уборка снег поставить забор чистить дорожка снег растаять открыть человек дорога столько деньга благоустройство потратить пользоваться результат ремонт"
" |text свалка сквер чишмяло"
" |text парка идти вырубка дерево основание разрешение вырубка любезный приложить соответствующий документ сажать дерево это просто способствовать улучшение экология это сохранять жизнь земля посадить вырубать парка"
" |text немой невозможно прыгать сделать пожалуйста пружинка ребенок мочь нормальный прыгать"
" |text сломать отсутствовать сидушка тренажер тренажер ремонтировать"
" |text необходимый произвести чистка сквер озеро чишмяло"
" |text сквер вокруг беседка битый стекло качели карета покоситься цепь удерживать еле висеть"
" |text туалет парка крыло совет работать час остальной время посетитель парк должный ходить"
" |text необходимый привести нормативный состояние"
" |text хватать песочница игровой снаряд детка пять год предлагать место песочница игровой площадка правый сторона мост место спокойный летом тень дерево ребенок жарко ряд достаточный количество скамейка родитель"
" |text около детский площадка ометьевскоми леса открытый доступ щит"
" |text сломать игровой инентарь качели форма лошадь парка имя фардиева детский игровой площадка карусель требовать обслуживание ужасно трещать хрустеть подклинивать"
" |text детский площадка парка имя фардиева сломать качели ребенок кататься"
" |text работать общественный туалет указание причина вестись ремонтный работа столь многолюдный место территория туалет работать считать дать ситуация вести загрязнение окружающий среда закрывать ремонт поочередно"
" |text парка имя фардиева бетонный дорожка разбитый например около мост плотина еще многий место почему износиться парка год фура ездить дорожка пожалуйста обследовать дорожка хотя самый больной место провести ремонт"
" |text уважаемый администрация год казань просить обратить внимание год ул дубравный далее б исполниться год основание переезд гражданин данный жила комплекс просить построить парк сквер детский площадка дать территория"
" |text работать фонарь детский площадка"
" |text каждый укромный место парка велик устроить место туалет возле некоторый горка невозможно стоять ужастный запах огромный просьба навести порядок следить иначе неприятно ребенок вляпываться куча"
" |text озеро очень плохой состояние поверхность вода дно замусорить бутылка битый пластик сухой камыш потеплеть весь это завонять жаль птица который пытаться гнездоваться жижа очень просить принять мера"
" |text убрать парка континет забор сторона казань арена прям недалеко спорт площадка тренажер многие маленькая ребенок весь время пытаться выехать самокат велосипед беговел проезжий часть установить ближний время пока случиться несчастие"
" |text очистить весь территория шахматный сквер ул вишневский мусор грязь"
" |text покрасить столб фонарный освещение шахматный сквер"
" |text сквер возле дом ул амирхан установить тип фонарь темнота время сутки работать фонарь сквер памятник ликвидатор чс иметься подсветка который работать просить исправить неполадка"
" |text вместо отсутствовать часть ограда установить деревянный который портить облик город соответствовать расположить ряд парка принять пожалуйста соответствующий мера"
" |text парка улица год победа водоем плохой состояние пройти период субботник парк остаться неубранный очень жаль видеть картина это водоем обитать утка"
" |text просить комитет благоустройство включить данный участок земля программа благоустройство прекрасный посадка необорудованный пешеходный полный тьма ночью просить облагородить благоустроить спортивный площадка небольшой сквер благодарить"
" |text парка имя фардиева штука семь фонарь подряд гореть новый часть парк дорожка бывший магазин камил фоткать ночью темнота"
" |text связь наступать днем победа хотеться обратить ваш внимание разрушаться памятник честь журналист участвовать вова"
" |text устроенный год назад сквер улица чуйков иметься фонарь сей пора включать"
" |text привезти ребенок песок малыш играть"
" |text дать участок необходимый создать сквер небольшой парк запустить территория удручать местный житель"
" |text сквер возле памятник бехтерев отсутствовать светильник столб соответственно работать освещение столб необходимый установить отсутствовать светильник восстановить освещение продолжение тема заявка"
" |text общественный туалет парк бывать мыло рука"
" |text каскад пруд микрорайон скамейка гулять сын инвалид негде присесть отдохнуть поставить пожалуйста скамейка"
" |text кататься ребенок качели человек сделать замечание правило написать максимальный вес качели"
" |text возле ул май далее лестница который нужно отремонтировать дырявый лестничный марш укрепить перилла ходилия ходуном покрасить перилла"
" |text территория детский площадка день лежать огромный тухлый рыба родитель положить нея камень ребенок трогать весь мусорка переполнить мусор летать весь территория везде осколок мелкий мусор"
" |text песочница мало песок необходимый обновить счеты сломать"
" |text работать фонарь сквер ул парин ул парин убедительно просить восстановить работа фонарь пожалуйста проверить весь фонарь мочь смысл сделать ящик заявка"
" |text район правый стена стоять лицо кинотеатр произойти утечка явно система канализация постоянно скапливаться жидкость бурлить земля вокруг распространяться характерный канализационный стоковый запах"
" |text парк урицкий очень красивый весь сделать ребенок забыть огородить озеро канал забор безопасность ребенок"
" |text третье ворота стадион камаз люк канализационный иметь целостный крышка исправить выглядеть убого должный выглядеть парк"
" |text установка детский городок парка имя р ш фардиева завезти песок песочница детский игровой городок убедительный просьба обойти внимание наш ребенок это год наполнить песочница песок"
" |text добрый вечер просить поставить знак запрещать велосипедист электрокар гироскутер кататься территория парк парка гулять очень маленькая ребенок подросток носиться прогулочный часть смотреть сторона сегодня сшибить мальчик х год"
" |text это находиться самый центр город думать знакомый каждый житель бугульма неужели бюджет город средство замена это поломать хлам"
" |text это действующий туалет почему поддерживаться чистый состояние запах десятка метр ощущаться просить привести порядок обеспечить соблюдение чистота"
" |text дисковый тренажер сломать крутиться необходимый подкрутить заменить деталь пожалуйста провести проверка устранить неполадка"
" |text множество перегореть лампа освещение парка континент местами темно прогулка вечерний время"
" |text сад эрмитаж свободный доступ электрический кабель столб безопасность человек необходимый привести электрохозяйство надлежащий состояние"
" |text обрыв установить новое игровой устройство ребенок весь бегать обрыв закрытый безопасно"
" |text гора мусор возле туалет парка победа судить количество мусор убираться видимо майский праздник"
" |text отсутствовать ограничитель заезд сквер комсомолец средний сантиметр фото отсутствовать остальной ограничитель шататься сильно необходимый закрепить ограничитель движение"
" |text конец докрасить думать сойти"
" |text необходимый прибить деревянный дощечка пешеходный зона район собачий загон горьковско ометьевский леса"
" |text парка крыло совет снова играть громкий фонтан часы ночь далекий каждый день спать невозможно отключать поздний"
" |text отсутствовать надпись ометьевский горькинский лес татарский язык просьба установить дополнительный надпись татарский язык"
" |text требоваться произвести ремонт скамейка парка"
" |text требоваться очистить плитка трава"
" |text требоваться отремонтировать мусорка парка"
" |text требоваться спилить сухой дерево парка"
" |text связь увеличение территория парк нужный вход который ранее открытый закрыть человек лазить забор старый млада вход утоптон годами посетитель закрыть просьба сделать вход калитка напротив переходный переход сантиметр фото"
" |text работать фонтан сквер галеев ряд нкц"
" |text сильный ветер разносить пыль весь валяться центр парк убрать строительный мусор"
" |text сель сарманово парка отдых сок дулкын детский площадка сломать качели просьба отремонтировать"
" |text сель сарманово парка отдых сок дулкын мусорный ведро заполнить возле деть площадка разбитый стекло везде осколок играть небезопасно просить убрать территория мусор"
" |text веревочный городок требовать обновление хватать доска трос перетереться фото весь загрузиться"
" |text сель сарманово парка отдых сок дулкын детский площадка маленькая ребенок зарасти колючий растение просить скосить убрать трава"
" |text сломать крышка люк парка газон дорожка парковка сцена"
" |text прошлое год благоустройство бульвар место ряд колодец засыпать земля посеять газон весной смыть это место необходимый установить рулонный газон"
" |text детский площадка парка прибрежный район озеро лесной ряд веревочный городок сломать тдеискай качель спасибо"
" |text горожанин ходить парк цель отдых трудовой день лавочка разместить парка дорожка ездить велосипед ролик сидеть приходиться смотреть проходить проезжать слушать шум нужно развернуть лавочка сторона зеленый зона либо вода дорожка"
" |text качели оторваться несколько тросс который торчать можуг нанести травма ребенок также остальной тросс изношенный состоянь"
" |text парка отсутствовать часть мягкий покрытие маленькая ребенок постоянно спотыкаться это место падать приводить травма"
" |text некоторый доска который сделать настил мост проломить отсутствовать несколько секция перила нужно отремонтировать мост перила"
" |text возле хоспис аллея радио засыхать растение"
" |text напротив дом ак королева парка засыхать растение"
" |text проверить весь деревянный покрытие парка"
" |text проверить резиновый дорожка весь протяженность"
" |text территория парк урицкий возле спортивный площадка засыхать растение"
" |text необходимый закрасить весь надпись рисунок колонна"
" |text парка кармалка упасть уронить фонарь сломать гореть нужно отремонтировать"
" |text отремонтировать пожалуйста веровочный сооружение парка прибрежный это городской набережная табеев парк прибрежный"
" |text требоваться вырубка порасти указанный территория"
" |text давно дождь трава высохнуть сквер смонтировать система полив просить организовать полив ребенок пыль бегать весь растение высохнуть"
" |text провалиться бетонный плита тропинка бульвар фучик необходимый поднять"
" |text высохший дерево бульвар фучик необходимый спилить посадить новое также необходимый регулярный полив"
" |text разрушаться детский мостик детский площадка"
" |text разрушаться крыша кораблик грусть разочарование"
" |text убедительный просьба установить знак шуметь запретить это род возможно спать закрытый окно знак желательно установить сторона парк вблизи место скапливаються авто мото пример фото"
" |text ряд детский парк чкалов территория выгуливать собака убедительный просьба поставить знак запрет выгул животное"
" |text парка чкалов гараж улица киров который ребенок ходить туалет родитель водить туда ребенок пахнуть выносить установить пожалуйста туалет который убираться иначе загрязнить запах"
" |text просить отремонтировать детский площадка качели сломать покрытие стертый мостик обвисать тренажер скрипеть частично сломать"
" |text свера лежать дверь убрать"
" |text парка установить песочница почему нея забыть насыпать песок просить насыпать песок ребенок мочь использовать назначение"
" |text песочница детский площадка остаться песок"
" |text центр город весь зарасти чащеб куча мусор"
" |text парка горкинский леса медведь металл поломать лапа металл открытый опасный"
" |text необходимый ремонтный работа восстановление качели"
" |text обрасти дремучий куст перекрывать тропка необходимый подстричь верхушка придать уходить вид"
" |text необходимый скосить трава весь порасти бурьян рост человек"
" |text просить установить территория каскад пруд знак выгул собака запретить страшно гулять ребенок выгуливать больший собака намордник"
" |text карусель сломать чреватый травма ребенок нужный ремонт"
" |text последний публичный слушание схема застройщик участок вокруг заявляться будущий парк районный масштаб ряд детский площадка свалка зона шашлык выгул собака парковка планироваться приведение соотво ие ранее озвучить"
" |text детский площадка сломаться качель"
" |text фанарей сквер недостаточно сквер плохо осветить приводить собираться толпа распитие алкоголь итог грязь шум опасность прохожий очень страшно ходить"
" |text высокий трава высота около метр складываться впечатление запустить забросить парк"
" |text парка достаточно фонарь который светить моргать периодичность минута просьба привести рабочий состояние"
" |text фонарь самый доступный место торчать провод представт нибыть песель захотеть пометить столб пожалуйста привести нормативный состояние"
" |text сегодня дочка парка детский площадка застрять нога доска цепь который должный держать доска сломать закрепить взрослый прийтись приложить усилие вытащить детский ножка обойтись серьезный травма"
" |text плавать мертвый рыба ужасный состояние вода детский зоопарк"
" |text невозможно гулять парка маленький ребенок дорожка парк огромный скорость ездить велосипедист притормаживать вид ребенок пешеход необходимый организовать обозначить место передвижение велосипедист"
" |text добрый утро уважаемый народный контроль далее малый шильный красиво благоустроенный парк никто следить ухаживать ребенок играть плачевный площадка среди мусор мусор убрать забор ремонтировать песок завозить обращаться мо далее метр ш действие"
" |text просить убрать сухой дерево сквер лемаева посадить новое очень жарко дерево летом"
" |text начаться разрушение лепестковый крыша сотовый поликарбонат неужели исправить весь неисправность сразу"
" |text дать сооружение установить светильник плафон прошлое год плафон видимо скоро"
" |text песочница сквер аксенов песок ребенок играть мусор"
" |text нужно привести порядок сквер дорожка заросль куст"
" |text предыдущий разметка быстро течение неделя пришлый негодность просьба нанести линия разметка качественный полиуретановый краска который отличаться стойкость выдерживать большой нагрузка либо вшить разметочный линия искусственный покрытие цвет"
" |text разрушить приствольный решетка опасный ребенок"
" |text территория парк культура отдых имя горький производиться своевременный очистка территория прилегать пешеходный дорожка сухостойный дерево фото дерево упасть средь бел день наш глаз тихий ясный погода опасный жизнь"
" |text суббота часы горожанин гулять свежеотремонтировать сквер плата ненастина новый фонтан почему работать требоваться пересмотреть время работа фонтан"
" |text запустить фонтан сквер слава"
" |text большой количество разбитый фонарь подсветка дорожка вдоль горкинский парк параллельно улица брат касимов подсчет около шт лампа"
" |text сцена парк покрытие нарисовать непристойный картинка"
" |text неудовлетворительный состояние фонарь матч освещение"
" |text необходимый уборка грязь аллея спасибо"
" |text парка победа игровой комплекс корабль сломать горка ребенок скатывание подпрыгивать ударяться спина"
" |text сцена возле учебный корпус декоративный окно торчать остирем гвоздь высота годовалый ребенок примерно сантиметр также декоративный дверь плохо прикрепить упасть летний ребенок"
" |text позор туалет работать днем видимо радом ходить"
" |text скейт парк парка континент требовать капитальный ремонт покрытие фанера фанера гнилой везде дыра опасный ребенок место"
" |text территория вход парк победа дерево нужно посадить фонд компенсационный посадка пример"
" |text детский площадка полностью разрушить забыть давный давно контроль нету красить обновлять детский замок ужасный состояние качели нету песочница нету вообще нету просить благоустроить детский площадка неужели ответственный нету участок sos"
" |text уличный освещение железный опор плафон исправный просить восстановить весь опора освещение"
" |text уважаемый администрация парка имя горький отсутствовать мусорный контейнер давать сделать город чистый"
" |text требоваться установить знак запрещать выгул собака сидоровский парка спортивный объект немой фз закон запрещать посещение парковый животный цель выгул территория организовать отдельный оградить площадка животное"
" |text кадетский парк завалить мусор урна давно заполнить перевернуть весь мусор лежать земля раздувать ветер"
" |text большой год стелла парк победа работать несколько светильник пожалуйста починить хотя лицевой сторона"
" |text заявка требоваться обрезать кустарник который препятствовать передвижение пешеход исполком закрыть заявка прокомментировать якобы выполнить работа приложить фото пешеходный дорожка кустарник обрезать кустарник карта указать точный место"
" |text требоваться установить знак запрещать курение спортивный объект сидоровский парка основание федеральный закон n фз ред статья запрет курение табак отдельный территория помещение объект"
" |text центральный вход парк культура отдых реконструкция парк оставить вывод крепеж фонарь либо поставить фонарь либо убрать крепеж"
" |text требоваться восстановление входной группа парк крыло совет весь облезлый"
" |text необходимый заменить пластиковый колечко пионерский парка"
" |text сломать конструкция необходимый починить почему смотреть состояние парк приходиться выставлять поломка народный контроль сторожить толк"
" |text разрушение памятник городской парка отсутствовать фасадный плита"
" |text спортивный баскетбольный площадка работать освещение некоторый столб сумерки темно невозможно играть просить устранить"
" |text дать конструкция находиться центральный аллея город протяжение несколько год площадка оставаться единственный наверное любимый место игра наш ребенок весь негодование обида сожаление влезать формат данный обращение"
" |text отсутствовать освещение вечером ночью сквер имя васильченко около месяц"
" |text нарушить ограда площадка инвентарь детский площадка частично сломать недопустимый уклон половый горка иметь место опасный монтаж качели вблизи горка лестница выбить оградительный щит горка отсутствовать инструкция пользование инвентарь ограничение возраст"
" |text двор год парк материнский слава туалет убогий весь дырявый ребенок зайти мочь провалиться вниз ужас"
" |text воркаут площадка парка урицкий перекосить перекладина некоторый турниковый сильно расшататься рукоход просьба выправить горизонталь весь перекладина закрепить рукоход"
" |text парка победа стоить иса табличка написать это су"
" |text современный парка смотреть руководство район ребенок круглый год кататься качели связаный веревка посмотреть ждать сорваться ребенок получить травма голов мера принять уважаемый"
" |text парка кармалка возле детский площадка прямо пешеходный дорожка дерево висеть большой сломать ветка считать момент опасный просьба убрать скорее"
" |text вход александровский парк повалить дерево овраг который снести сильный ветер дорожка очистить большой дерево продолжать валяться овраг необходимый чистка парк"
" |text лыжный трасса отсутствовать плакат протяженность дорога направление весь знать идти догорог протяженность город весь установить понятно"
" |text парка дорожка освещение который перестать работать летний период короткий заканчиваться темнота весь большой гулять становиться опасный страшно нужно восстановить освещение заменить лампа починить проводка очень актуально дорожка леса"
" |text просить убрать сухой дерево посадить новое"
" |text просить убрать сухой дерево посадить новое"
" |text просить убрать сломленый дерево посадить новое"
" |text просить убрать сухой дерево посадить новое"
" |text просить отремонтировать игровой руль кабина пилот торчать труба металлический небезопасно"
" |text покрасить скамейка весь территория парк"
" |text покрасить урна весь парка"
" |text покрасить весь фонарный столб парка"
" |text фонтан советский эпоха напоминать подводный мина нелепо мочь это история просить востановить фонтан сохранение облик"
" |text покрасить перила парка"
" |text починить скамейка парка возле автовокзал"
" |text покрасить скамейка весь территория парк"
" |text очистить урна граффити"
" |text отремонтировать ограждение ряд фонтан балерина"
" |text создать парк великий человек ученый химик"
" |text покрасить урна весь парка"
" |text парка находиться открытый колодец фото прикрепить удаться большой неделя ряд расположить детский площадка танк"
" |text положить новый плитка вместо разбитый"
" |text расмотреть пожалуйста возможность благоустроить район гагарин кайманов справа лента сторона родник дорожка скамейка установить немного развлечение ребенок сторона город погулять негде нужный пеший велосипедныепрогулка парк необходимый"
" |text парка напротив дом академик парин гореть фонарь"
" |text торчать сучка дерево ребенок мочь спокойно проколоть просить устранить"
" |text горкинско ометевский леса сухой дерево начать падать опасность падение тропинка следовать спилить"
" |text парка белые цвета зона ряд шахматный стол нахватать урна фотография заметить урна который обвести отсутствие достаточный количество урна приводить человек выбрасывать мусор прямо куст"
" |text сломать карусель лежать травка"
" |text парка урицкий волейбольный площадка просить включать освещение одновременно включение пешеходный тротуар час поздний"
" |text парка мусор кожура семечко окурок возле детский качели"
" |text заклеить циферблат весь сторона пока сорвать хулиган"
" |text закрасить граффити стойка часы"
" |text стереть граффити каждый циферблат"
" |text покрасить ободок"
" |text установить плафон лампочка сквер тукать центр город"
" |text соседний выход сквер часто перекрыть автомобиль коляска съехать невозможно желание обойти авто либо булыжник спрыгивать поребрик либо дерево необходимый пара столбик блокировать парковка это место идеал выступ тротуар"
" |text безопасно закрепить качели карабин стертый оторвать риск получение травма"
" |text харовый озеро ряд спортивный площадка открытый щиток фонарь ряд играть ребенок нужно закрыть"
" |text ржавый опора крепление камера парка крыло совет необходимый восстановить лакокрасочный покрытие опора"
" |text дорожка вокруг озеро дождь намыть грунт мешать гулять любоваться наш город"
" |text переполненный урна парка калейдоскоп улица сыртланов год казань весь парка валяться мусор"
" |text большой засохнуть ствол дерево возле дуб площадка скетбордист горкинско ометьевский леса"
" |text подъем парк ряд бассейн оргсинтез нужный пандус пология съезд коляска велосипед разбитый грунт"
" |text просить докрасить беговой скандинавский дорожка парка победа"
" |text бульвар белые цвета это место справа находиться холм идти дождь грунт размывать дорожка нужно решить проблема возможно установить металлический лента"
" |text свет общественный туалет парка черный озеро невозможно имя пользоваться сотрудница мерзнуть обогрев работать обогреватель"
" |text парка имя фардиева очередь тренировочный площадка ужасный состояние везде весь парка весь ужасный состояние открыть сдать парк весь забыть следить принять мера"
" |text парка имя фардиева очередь сломать скамейка везде весь парка весь ужасный состояние открыть сдать парк весь забыть следить"
" |text просить забетонировать прорезиненный основание площадка дать общественный качели парка победа"
" |text парка урицкий мемориал герой"
" |text просить заменить цепь замок крепление конструкция общественный качели соответствовать максимальный вес соотношение сидячий местами возможный грузоподъемность"
" |text пленка стройка застрять ветка дерево зимой ужасно выглядеть просьба убрать"
" |text главный аллея парк победа исчезнуть весь скамейка который хватать сначала исчезнуть весь скамейка край аллея вообще остаться самый начало просьба разобраться вернуть скамейка место большой ранний"
" |text просить засыпать слякоть граверный песок площадка общественный качели парка победа снегопад"
" |text просить обойти данный беговой скандинавский дорожка дождливый погода отметить затопить участок проведение дренажный система слива дождев поток лужа"
" |text здравствовать фонарь освещение буква парк весна работать слева вообще видимо вандал украсть справа гореть просьба исправить спасибо"
" |text парка дорожка освещение который перестать работать летний период короткий заканчиваться темнота весь большой гулять становиться опасный страшно нужно восстановить освещение заменить лампа починить проводка очень актуально дорожка леса"
" |text сухой дерево около детский площадка упасть соседний необходимый убрать избежание инцидент"
" |text детский площадка возле кафе ашала сломать поручень лестница детский площадка хватать шуруп закрепить прийтись элемент починка"
" |text поставить замечательный урна пешеходный дорожка парка дирекция парковый сквер вместо решение проблема получить еще хотеть урна сломать мешать проход отдыхать поставить урна положить фундамент ряд тротуар"
" |text вестись работа лесопарк город рабочий видимо лень вывозить мусор свалка монтаж опора колесо обозрение укладка брусчатка весь мусор выкинуть леса метр место работа кучка леса полно лечить калечить"
" |text сквер влюбить гореть множество фонарь"
